Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3s2.3p.6d,3P*,2,5,,63020.42,,,  61  3p.nd           :    30  3p.nd  3D*  ,L5815
3s2.3p.6d,3P*,1,3,,63097.36,,,  87  3p.nd           :     8  3p.nd  3D*  ,L5815
3s2.3p.6d,3P*,0,1,,63123.36,,,  95  3p.nd           :     4  3s.3p3 3P*  ,L5815
3s2.3p.(2P*<3/2>).8s<1/2>,"(3/2,1/2)*",2,5,,63093.41,,,                                           ,L5815
3s2.3p.(2P*<3/2>).8s<1/2>,"(3/2,1/2)*",1,3,,63130.49,,,                                           ,L5815
3s2.3p.7d,3F*,2,5,,63204.89,,,  60                  :    30  3p.7d  1D*  ,L5815
3s2.3p.7d,3F*,3,7,,63340.70,,,  86                  :     5  3p.7d  1F*  ,L5815
3s2.3p.7d,3F*,4,9,,63514.533,,,  98                  :     1  3p.6d  3F*  ,L5815
3s2.3p.(2P*<1/2>).8p<3/2>,"(1/2,3/2)",2,5,,63225.5,,,                                           ,L5815
3s2.3p.7d,1D*,2,5,,63356.24,,,  54                  :    34  3p.7d  3F*  ,L5815
3s2.3p.7d,1P*,1,3,,63486.93,,,  50                  :    34  3p.nd  3D*  ,L5815
3s2.3p.(2P*<1/2>).7f,2[7/2],3,7,,63488.01,?,,                                           ,L5815
3s2.3p.(2P*<1/2>).7f,2[7/2],4,9,,63488.91,,,                                           ,L5815
3s2.3p.(2P*<1/2>).7f,2[5/2],2,5,,63489.44,?,,                                           ,L5815
3s2.3p.(2P*<1/2>).7f,2[5/2],3,7,,63490.66,?,,                                           ,L5815
3s2.3p.7d,3D*,2,5,,63575.35,,,  51  3p.nd           :    39  3p.nd  3P*  ,L5815
3s2.3p.7d,3D*,1,3,,63750.39,,,  51  3p.nd           :    38  3p.7d  1P*  ,L5815
3s2.3p.7d,3D*,3,7,,63760.24,,,  69  3p.nd           :    23  3p.7d  1F*  ,L5815
3s2.3p.(2P*<1/2>).9s<1/2>,"(1/2,1/2)*",0,1,,63576.85,,,                                           ,L5815
3s2.3p.(2P*<1/2>).9s<1/2>,"(1/2,1/2)*",1,3,,63584.22,,,                                           ,L5815
3s2.3p.(2P*<3/2>).8p<3/2>,"(3/2,3/2)",0,1,,63618.6,,,                                           ,L5815
3s2.3p.7d,1F*,3,7,,63641.77,,,  62  3p.nd           :    24  3p.nd  3D*  ,L5815
3s2.3p.(2P*<3/2>).7f,2[7/2],3,7,,63762.20,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7f,2[7/2],4,9,,63762.93,,,                                           ,L5815
3s2.3p.nd,*,2,5,,63770.28,,,  35  3P*             :    31  3p.nd  3D*  ,L5815
3s2.3p.(2P*<3/2>).7f,2[5/2],3,7,,63773.29,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7f,2[5/2],2,5,,63773.58,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7f,2[9/2],5,11,,63781.97,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7f,2[9/2],4,9,,63783.31,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7f,2[3/2],1,3,,63793.52,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7f,2[3/2],2,5,,63794.31,,,                                           ,L5815
3s2.3p.7d,3P*,1,3,,63844.65,,,  81  3p.nd           :    12  3p.nd  3D*  ,L5815
3s2.3p.7d,3P*,0,1,,63863.80,?,,  97                  :     3  3s.3p3 3P*  ,L5815
3s2.3p.8d,3F*,2,5,,63860.44,,,  51                  :    13  3p.8d  1D*  ,L5815
3s2.3p.8d,3F*,3,7,,63945.10,,,  76                  :     6  3p.8d  1F*  ,L5815
3s2.3p.8d,3F*,4,9,,64133.93,,,  98                  :     1  3p.7d  3F*  ,L5815
3s2.3p.(2P*<3/2>).9s<1/2>,"(3/2,1/2)*",2,5,,63863.84,,,                                           ,L5815
3s2.3p.(2P*<3/2>).9s<1/2>,"(3/2,1/2)*",1,3,,63884.61,,,                                           ,L5815
3s2.3p.8d,1D*,2,5,,63990.67,,,  54                  :    21  3p.8d  3F*  ,L5815
3s2.3p.8d,1P*,1,3,,64020.42,,,  49  3p.nd           :    40  3p.nd  3D*  ,L5815
3s2.3p.(2P*<1/2>).10s<1/2>,"(1/2,1/2)*",0,1,,64079.74,,,                                           ,L5815
3s2.3p.(2P*<1/2>).10s<1/2>,"(1/2,1/2)*",1,3,,64085.87,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64104.88,,,  40  3P*             :    38  3p.nd  3D*  ,L5815
3s2.3p.8d,1F*,3,7,,64187.80,,,  48  3p.nd           :    26  3p.nd  3F*  ,L5815
3s2.3p.9d,3F*,2,5,,64243.30,,,  57                  :    19  3p.9d  1D*  ,L5815
3s2.3p.9d,3F*,3,7,,64351.93,,,  60                  :     8  3p.8d  3D*  ,L5815
3s2.3p.9d,3F*,4,9,,64550.37,?,,  98                  :     1  3p.8d  3F*  ,L5815
3s2.3p.(2P*<3/2>).8d<5/2>,"(3/2,5/2)*",1,3,,64287.43,,,  50  1P*             :    42  3p.nd  3D*  ,L5815
3s2.3p.(2P*<3/2>).8d<5/2>,"(3/2,5/2)*",3,7,,64295.26,,,  60  3D*             :    38  3p.nd  1F*  ,L5815
3s2.3p.nd,*,2,5,,64322.71,,,  40  3D*             :    37  3p.nd  3P*  ,L5815
3s2.3p.(2P*<3/2>).8d<3/2>,"(3/2,3/2)*",1,3,,64337.81,,,  78  3P*             :    18  3p.nd  3D*  ,L5815
3s2.3p.(2P*<3/2>).8d<3/2>,"(3/2,3/2)*",0,1,,64358.52,,,  98  3P*             :     2  3s.3p3 3P*  ,L5815
3s2.3p.(2P*<3/2>).10s<1/2>,"(3/2,1/2)*",2,5,,64366.68,,,                                           ,L5815
3s2.3p.(2P*<3/2>).10s<1/2>,"(3/2,1/2)*",1,3,,64376.18,,,                                           ,L5815
3s2.3p.(2P*<1/2>).9d<3/2>,"(1/2,3/2)*",1,3,,64393.66,,,  42  3D*             :    42  3p.nd  1P*  ,L5815
3s2.3p.nd,*,2,5,,64398.19,,,  38  1D*             :    30  3p.nd  3P*  ,L5815
3s2.3p.(2P*<1/2>).11s<1/2>,"(1/2,1/2)*",0,1,,64425.97,,,                                           ,L5815
3s2.3p.(2P*<1/2>).11s<1/2>,"(1/2,1/2)*",1,3,,64432.03,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64488.72,,,  42  1D*             :    29  3p.nd  3P*  ,L5815
3s2.3p.10d,3F*,2,5,,64553.46,,,  68                  :    16  3p.10d 1D*  ,L5815
3s2.3p.(2P*<1/2>).10d<3/2>,"(1/2,3/2)*",1,3,,64635.82,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64646.73,,,                                           ,L5815
3s2.3p.nd,*,3,7,,64647.46,,,                                           ,L5815
3s2.3p.(2P*<3/2>).9d<5/2>,"(3/2,5/2)*",1,3,,64654.97,,,                                           ,L5815
3s2.3p.(2P*<3/2>).9d<5/2>,"(3/2,5/2)*",3,7,,64662.04,,,                                           ,L5815
3s2.3p.(2P*<1/2>).12s<1/2>,"(1/2,1/2)*",0,1,,64674.61,,,                                           ,L5815
3s2.3p.(2P*<1/2>).12s<1/2>,"(1/2,1/2)*",1,3,,64678.93,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64687.77,,,                                           ,L5815
3s2.3p.(2P*<3/2>).9d<3/2>,"(3/2,3/2)*",1,3,,64699.46,,,                                           ,L5815
3s2.3p.(2P*<3/2>).9d<3/2>,"(3/2,3/2)*",0,1,,64703.23,,,  99  3P*             :     1  3s.3p3 3P*  ,L5815
3s2.3p.(2P*<3/2>).11s<1/2>,"(3/2,1/2)*",2,5,,64713.05,,,                                           ,L5815
3s2.3p.(2P*<3/2>).11s<1/2>,"(3/2,1/2)*",1,3,,64723.88,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64758.61,,,                                           ,L5815
3s2.3p.nd,*,3,7,,64795.43,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64795.56,,,                                           ,L5815
3s2.3p.(2P*<1/2>).11d<3/2>,"(1/2,3/2)*",1,3,,64832.70,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64855.48,,,                                           ,L5815
3s2.3p.(2P*<1/2>).13s<1/2>,"(1/2,1/2)*",0,1,,64859.23,,,                                           ,L5815
3s2.3p.(2P*<1/2>).13s<1/2>,"(1/2,1/2)*",1,3,,64861.02,,,                                           ,L5815
3s2.3p.nd,*,3,7,,64881.45,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64916.64,,,                                           ,L5815
3s2.3p.(2P*<3/2>).10d<5/2>,"(3/2,5/2)*",1,3,,64920.15,,,                                           ,L5815
3s2.3p.(2P*<3/2>).10d<5/2>,"(3/2,5/2)*",3,7,,64923.97,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64943.94,,,                                           ,L5815
3s2.3p.(2P*<3/2>).10d<3/2>,"(3/2,3/2)*",1,3,,64946.12,,,                                           ,L5815
3s2.3p.(2P*<3/2>).10d<3/2>,"(3/2,3/2)*",0,1,,64952.58,,,                                           ,L5815
3s2.3p.(2P*<3/2>).12s<1/2>,"(3/2,1/2)*",2,5,,64961.67,,,                                           ,L5815
3s2.3p.(2P*<3/2>).12s<1/2>,"(3/2,1/2)*",1,3,,64967.34,,,                                           ,L5815
3s2.3p.nd,*,3,7,,64965.03,,,                                           ,L5815
3s2.3p.nd,*,2,5,,64982.37,,,                                           ,L5815
3s2.3p.(2P*<1/2>).12d<3/2>,"(1/2,3/2)*",1,3,,64982.42,,,                                           ,L5815
3s2.3p.(2P*<1/2>).14s<1/2>,"(1/2,1/2)*",0,1,,65000.11,,,                                           ,L5815
3s2.3p.(2P*<1/2>).14s<1/2>,"(1/2,1/2)*",1,3,,65002.16,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65025.30,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65055.82,,,                                           ,L5815
3s2.3p.(2P*<1/2>).13d<3/2>,"(1/2,3/2)*",1,3,,65092.05,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65099.38,,,                                           ,L5815
3s2.3p.nd,*,3,7,,65102.52,,,                                           ,L5815
3s2.3p.(2P*<1/2>).15s<1/2>,"(1/2,1/2)*",1,3,,65108.74,,,                                           ,L5815
3s2.3p.(2P*<1/2>).15s<1/2>,"(1/2,1/2)*",0,1,,65109.47,,,                                           ,L5815
3s2.3p.(2P*<3/2>).11d<5/2>,"(3/2,5/2)*",1,3,,65116.72,,,                                           ,L5815
3s2.3p.(2P*<3/2>).11d<5/2>,"(3/2,5/2)*",3,7,,65117.65,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65125.26,,,                                           ,L5815
3s2.3p.(2P*<3/2>).11d<3/2>,"(3/2,3/2)*",1,3,,65135.28,,,                                           ,L5815
3s2.3p.(2P*<3/2>).11d<3/2>,"(3/2,3/2)*",0,1,,65138.22,,,                                           ,L5815
3s2.3p.(2P*<3/2>).13s<1/2>,"(3/2,1/2)*",2,5,,65146.14,,,                                           ,L5815
3s2.3p.(2P*<3/2>).13s<1/2>,"(3/2,1/2)*",1,3,,65151.67,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65152.74,,,                                           ,L5815
3s2.3p.nd,*,3,7,,65170.67,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65177.70,,,                                           ,L5815
3s2.3p.(2P*<1/2>).14d<3/2>,"(1/2,3/2)*",1,3,,65184.24,,,                                           ,L5815
3s2.3p.(2P*<1/2>).16s<1/2>,"(1/2,1/2)*",0,1,,65196.82,,,                                           ,L5815
3s2.3p.(2P*<1/2>).16s<1/2>,"(1/2,1/2)*",1,3,,65197.98,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65203.73,,,                                           ,L5815
3s2.3p.nd,*,3,7,,65226.60,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65231.21,,,                                           ,L5815
3s2.3p.(2P*<1/2>).15d<3/2>,"(1/2,3/2)*",1,3,,65255.31,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65258.33,,,                                           ,L5815
3s2.3p.nd,*,3,7,,65258.83,,,                                           ,L5815
3s2.3p.(2P*<3/2>).12d<5/2>,"(3/2,5/2)*",1,3,,65261.50,,,                                           ,L5815
3s2.3p.(2P*<3/2>).12d<5/2>,"(3/2,5/2)*",3,7,,65264.91,,,                                           ,L5815
3s2.3p.(2P*<1/2>).17s<1/2>,"(1/2,1/2)*",0,1,,65267.35,,,                                           ,L5815
3s2.3p.(2P*<1/2>).17s<1/2>,"(1/2,1/2)*",1,3,,65268.80,,,                                           ,L5815
3s2.3p.nd,*,2,5,,65272.41,,,                                           ,L5815
3s2.3p.(2P*<3/2>).12d<3/2>,"(3/2,3/2)*",1,3,,65278.23,,,                                           ,L5815
3s2.3p.(2P*<3/2>).12d<3/2>,"(3/2,3/2)*",0,1,,65280.10,,,                                           ,L5815
